Circularized_assembly_1_Schiffornis_Bocas	TOPOLOGY		circular	
	source	1..17008	ff_definition	Circularized_assembly_1_Schiffornis_Bocas mitochondrial DNA, ???
			organelle	mitochondrion
			organism	Circularized_assembly_1_Schiffornis_Bocas
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2800..3777	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4003..5041	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5041,aa:TERM)
			transl_table	2
	CDS	5397..6992	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7089..7772	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			transl_table	2
	CDS	7844..8011	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8002..8685	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			transl_table	2
	CDS	8692..9475	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9475,aa:TERM)
			transl_table	2
	CDS	9545..9895	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			transl_table	2
	CDS	9970..10266	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10260..11637	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11637,aa:TERM)
			transl_table	2
	CDS	11844..13661	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	13673..14815	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	CDS	complement(16237..16758)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	rRNA	70..1048	product	12S rRNA
	rRNA	1120..2712	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1049..1119	product	tRNA-Val
	tRNA	2713..2786	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3787..3859	product	tRNA-Ile
	tRNA	complement(3864..3934)	product	tRNA-Gln
	tRNA	3934..4002	product	tRNA-Met
	tRNA	5042..5111	product	tRNA-Trp
	tRNA	complement(5113..5181)	product	tRNA-Ala
	tRNA	complement(5184..5256)	product	tRNA-Asn
	tRNA	complement(5259..5325)	product	tRNA-Cys
	tRNA	complement(5325..5395)	product	tRNA-Tyr
	tRNA	complement(6939..7012)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7015..7083	product	tRNA-Asp
	tRNA	7774..7842	product	tRNA-Lys
	tRNA	9476..9544	product	tRNA-Gly
	tRNA	9898..9966	product	tRNA-Arg
	tRNA	11638..11707	product	tRNA-His
	tRNA	11708..11773	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11773..11843	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	14818..14886	product	tRNA-Thr
	tRNA	complement(16156..16224)	product	tRNA-Pro
	tRNA	complement(16761..16829)	product	tRNA-Glu
	D-loop	14887..16155	note	control region
