Circularized_assembly_1_Schiffornis_Darien	TOPOLOGY		circular	
	source	1..17016	ff_definition	Circularized_assembly_1_Schiffornis_Darien mitochondrial DNA, ???
			organelle	mitochondrion
			organism	Circularized_assembly_1_Schiffornis_Darien
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2808..3785	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4011..5049	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5049,aa:TERM)
			transl_table	2
	CDS	5405..7000	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7093..7776	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			transl_table	2
	CDS	7848..8015	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8006..8689	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			transl_table	2
	CDS	8696..9479	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9479,aa:TERM)
			transl_table	2
	CDS	9573..9899	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			transl_table	2
	CDS	9974..10270	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10264..11641	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11641,aa:TERM)
			transl_table	2
	CDS	11848..13665	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	13677..14819	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	CDS	complement(16241..16762)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	rRNA	70..1051	product	12S rRNA
	rRNA	1123..2716	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1052..1122	product	tRNA-Val
	tRNA	2717..2790	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3795..3867	product	tRNA-Ile
	tRNA	complement(3872..3942)	product	tRNA-Gln
	tRNA	3942..4010	product	tRNA-Met
	tRNA	5050..5119	product	tRNA-Trp
	tRNA	complement(5121..5189)	product	tRNA-Ala
	tRNA	complement(5192..5264)	product	tRNA-Asn
	tRNA	complement(5266..5333)	product	tRNA-Cys
	tRNA	complement(5333..5403)	product	tRNA-Tyr
	tRNA	complement(6947..7020)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7023..7091	product	tRNA-Asp
	tRNA	7778..7846	product	tRNA-Lys
	tRNA	9480..9548	product	tRNA-Gly
	tRNA	9902..9970	product	tRNA-Arg
	tRNA	11642..11711	product	tRNA-His
	tRNA	11712..11777	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11777..11847	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	14822..14890	product	tRNA-Thr
	tRNA	complement(16160..16228)	product	tRNA-Pro
	tRNA	complement(16766..16835)	product	tRNA-Glu
	D-loop	14891..16159	note	control region
