Circularized_assembly_1_Sclerurus_Bocas	TOPOLOGY		circular	
	source	1..16992	ff_definition	Circularized_assembly_1_Sclerurus_Bocas mitochondrial DNA, ???
			organelle	mitochondrion
			organism	Circularized_assembly_1_Sclerurus_Bocas
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2825..3802	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4032..5070	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5070,aa:TERM)
			transl_table	2
	CDS	5427..6977	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7123..7806	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			transl_table	2
	CDS	7902..8720	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			transl_table	2
	CDS	8731..9514	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9514,aa:TERM)
			transl_table	2
	CDS	9590..9934	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			transl_table	2
	CDS	10014..10310	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10304..11681	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11681,aa:TERM)
			transl_table	2
	CDS	11887..13707	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	13721..14863	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	CDS	15832..16167	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	complement(16325..16846)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	rRNA	71..1054	product	12S rRNA
	rRNA	1127..2738	product	16S rRNA
	tRNA	1..70	product	tRNA-Phe
	tRNA	1055..1126	product	tRNA-Val
	tRNA	2739..2812	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3811..3882	product	tRNA-Ile
	tRNA	complement(3887..3957)	product	tRNA-Gln
	tRNA	3963..4031	product	tRNA-Met
	tRNA	5071..5142	product	tRNA-Trp
	tRNA	complement(5144..5212)	product	tRNA-Ala
	tRNA	complement(5216..5288)	product	tRNA-Asn
	tRNA	complement(5289..5355)	product	tRNA-Cys
	tRNA	complement(5355..5425)	product	tRNA-Tyr
	tRNA	complement(6969..7042)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7045..7113	product	tRNA-Asp
	tRNA	7808..7877	product	tRNA-Lys
	tRNA	9515..9583	product	tRNA-Gly
	tRNA	9944..10012	product	tRNA-Arg
	tRNA	11682..11751	product	tRNA-His
	tRNA	11752..11816	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11816..11886	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	14867..14935	product	tRNA-Thr
	tRNA	complement(16235..16304)	product	tRNA-Pro
	tRNA	complement(16850..16920)	product	tRNA-Glu
	D-loop	14936..15831	note	control region
